NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,광주광역시 동구 금남로5가,154-1,154,1,AM-City하이클래스,15.1697,202402,3,"6,250",금남로 AM-City 하이클래스,11,개인,개인,2014,금남로 185,-,중개거래,"광주 남구, 광주 서구",24.02.16
2,광주광역시 동구 충장로5가,Apr-96,96,4,로머스파크헤리티지,59.9682,202402,9,"35,290",-,26,개인,법인,2023,독립로226번길 5-10,20240305,직거래,-,-
3,광주광역시 동구 충장로5가,Apr-96,96,4,로머스파크헤리티지,84.8381,202402,12,"47,540",101동,8,개인,법인,2023,독립로226번길 5-10,-,직거래,-,24.03.22
4,광주광역시 동구 충장로5가,Apr-96,96,4,로머스파크헤리티지,59.9682,202402,9,"35,290",-,26,개인,법인,2023,독립로226번길 5-10,-,직거래,-,-
5,광주광역시 동구 수기동,22,22,0,고운하이츠(22-0),58.0601,202404,22,"16,700",-,2,개인,개인,2011,천변우로 329-10,-,중개거래,광주 서구,24.05.17
6,광주광역시 동구 계림동,1869,1869,0,계림아이파크에스케이뷰,84.9669,202404,7,"73,000",-,16,개인,개인,2022,필문대로 70,-,중개거래,광주 동구,-
7,광주광역시 동구 계림동,1869,1869,0,계림아이파크에스케이뷰,76.9879,202403,30,"61,500",-,12,개인,개인,2022,필문대로 70,-,중개거래,광주 동구,-
8,광주광역시 동구 계림동,1869,1869,0,계림아이파크에스케이뷰,76.9879,202404,1,"58,000",-,17,개인,개인,2022,필문대로 70,-,중개거래,광주 동구,-
9,광주광역시 동구 계림동,1845,1845,0,두산위브3차(두산위브더파크),84.9738,202404,14,"55,000",-,12,개인,개인,2021,중앙로290번길 16,-,중개거래,광주 동구,-
10,광주광역시 동구 계림동,100-1,100,1,금호,59.85,202404,5,"19,500",-,4,개인,개인,1996,필문대로 12-7,20240417,중개거래,광주 북구,-
11,광주광역시 동구 계림동,1869,1869,0,계림아이파크에스케이뷰,76.9879,202404,11,"58,900",-,8,개인,개인,2022,필문대로 70,-,중개거래,광주 동구,-
12,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,59.9055,202402,1,"36,700",-,24,개인,개인,2020,경양로 234,-,중개거래,광주 동구,-
13,광주광역시 동구 계림동,1845,1845,0,두산위브3차(두산위브더파크),84.9964,202403,11,"54,000",-,11,개인,개인,2021,중앙로290번길 16,-,중개거래,광주 동구,-
14,광주광역시 동구 계림동,1869,1869,0,계림아이파크에스케이뷰,123.8681,202402,26,"104,500",-,13,개인,개인,2022,필문대로 70,-,중개거래,광주 동구,-
15,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,39.8652,202402,29,"28,500",-,8,개인,법인,2020,경양로 234,20240315,직거래,-,-
16,광주광역시 동구 계림동,1845,1845,0,두산위브3차(두산위브더파크),59.9903,202405,1,"37,000",-,13,개인,개인,2021,중앙로290번길 16,-,중개거래,광주 동구,-
17,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,59.9083,202405,1,"36,000",-,5,개인,개인,2020,경양로 234,-,중개거래,광주 동구,-
18,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,75.9117,202405,2,"46,850",-,32,개인,개인,2020,경양로 234,-,중개거래,광주 동구,-
19,광주광역시 동구 계림동,1869,1869,0,계림아이파크에스케이뷰,76.9879,202401,19,"60,000",-,12,개인,개인,2022,필문대로 70,-,중개거래,광주 동구,-
20,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,39.8652,202403,12,"28,700",-,20,개인,법인,2020,경양로 234,20240507,직거래,-,-
21,광주광역시 동구 계림동,175-7,175,7,SG빌리지,49.0349,202403,18,"8,250",-,5,개인,법인,2018,중앙로 313,-,직거래,-,24.03.25
22,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,39.8652,202402,29,"24,000",108,22,개인,개인,2020,경양로 234,-,중개거래,광주 동구,24.03.29
23,광주광역시 동구 계림동,175-7,175,7,SG빌리지,29.4889,202403,4,"7,500",-,9,개인,개인,2018,중앙로 313,-,중개거래,광주 동구,24.03.11
24,광주광역시 동구 계림동,1815,1815,0,두산위브2차,84.9765,202405,7,"47,800",-,17,개인,개인,2018,계림로30번길 15,-,중개거래,광주 동구,-
25,광주광역시 동구 계림동,1815,1815,0,두산위브2차,84.9765,202405,7,"47,200",-,6,개인,개인,2018,계림로30번길 15,-,중개거래,광주 동구,-
